// Time;RH1;Temp1
8 lug 2025, 18:00:00;51,61;27,23
8 lug 2025, 19:00:00;50,86;27,14
8 lug 2025, 20:00:00;50,79;27,12
8 lug 2025, 21:00:00;50,46;27,07
8 lug 2025, 22:00:00;48,28;27,06
8 lug 2025, 23:00:00;46,13;27,01
9 lug 2025, 00:00:00;46,15;26,95
9 lug 2025, 01:00:00;45,69;26,92
9 lug 2025, 02:00:00;43,93;26,87
9 lug 2025, 03:00:00;40,97;26,80
9 lug 2025, 04:00:00;38,22;26,70
9 lug 2025, 05:00:00;36,40;26,58
9 lug 2025, 06:00:00;33,29;26,36
9 lug 2025, 07:00:00;31,86;25,79
9 lug 2025, 08:00:00;32,74;25,58
9 lug 2025, 09:00:00;33,73;25,64
9 lug 2025, 10:00:00;34,33;25,88
9 lug 2025, 11:00:00;34,39;26,14
9 lug 2025, 12:00:00;34,32;26,43
9 lug 2025, 13:00:00;34,75;26,62
9 lug 2025, 14:00:00;35,28;26,67
9 lug 2025, 15:00:00;35,45;26,56
9 lug 2025, 16:00:00;36,56;26,52
9 lug 2025, 17:00:00;38,00;26,50
9 lug 2025, 18:00:00;39,08;26,58
9 lug 2025, 19:00:00;39,41;26,60
9 lug 2025, 20:00:00;39,90;26,60
9 lug 2025, 21:00:00;40,72;26,63
9 lug 2025, 22:00:00;41,28;26,65
9 lug 2025, 23:00:00;41,66;26,63
10 lug 2025, 00:00:00;41,96;26,58
10 lug 2025, 01:00:00;42,02;26,55
10 lug 2025, 02:00:00;41,73;26,51
10 lug 2025, 03:00:00;41,52;26,48
10 lug 2025, 04:00:00;41,32;26,45
10 lug 2025, 05:00:00;41,34;26,44
10 lug 2025, 06:00:00;40,66;26,40
10 lug 2025, 07:00:00;38,72;26,04
10 lug 2025, 08:00:00;40,81;25,86
10 lug 2025, 09:00:00;41,17;25,97
10 lug 2025, 10:00:00;41,02;26,08
10 lug 2025, 11:00:00;44,80;26,35
10 lug 2025, 12:00:00;46,70;26,50
10 lug 2025, 13:00:00;47,67;26,56
10 lug 2025, 14:00:00;47,99;26,62
10 lug 2025, 15:00:00;47,11;26,56
10 lug 2025, 16:00:00;47,73;26,50
10 lug 2025, 17:00:00;47,66;26,46
10 lug 2025, 18:00:00;48,30;26,46
10 lug 2025, 19:00:00;48,24;26,48
10 lug 2025, 20:00:00;48,37;26,48
10 lug 2025, 21:00:00;48,41;26,47
10 lug 2025, 22:00:00;48,22;26,44
10 lug 2025, 23:00:00;47,95;26,43
11 lug 2025, 00:00:00;47,64;26,38
11 lug 2025, 01:00:00;47,24;26,34
11 lug 2025, 02:00:00;46,62;26,32
11 lug 2025, 03:00:00;45,64;26,27
11 lug 2025, 04:00:00;44,77;26,23
11 lug 2025, 05:00:00;44,16;26,21
11 lug 2025, 06:00:00;43,03;26,17
11 lug 2025, 07:00:00;40,04;25,85
11 lug 2025, 08:00:00;40,41;25,68
11 lug 2025, 09:00:00;44,29;26,14
11 lug 2025, 10:00:00;47,42;26,69
11 lug 2025, 11:00:00;47,72;27,04
11 lug 2025, 12:00:00;48,63;27,24
11 lug 2025, 13:00:00;48,78;27,20
11 lug 2025, 14:00:00;50,01;26,99
11 lug 2025, 15:00:00;49,11;26,92
11 lug 2025, 16:00:00;47,58;26,84
11 lug 2025, 17:00:00;47,28;26,76
11 lug 2025, 18:00:00;47,55;26,64
11 lug 2025, 19:00:00;48,03;26,57
11 lug 2025, 20:00:00;48,56;26,56
11 lug 2025, 21:00:00;49,03;26,56
11 lug 2025, 22:00:00;49,39;26,53
11 lug 2025, 23:00:00;49,64;26,52
